央视,#genre#
CCTV2,http://27.19.67.44:8888/rtp/239.254.96.154:8998
CCTV2,http://123.121.93.179:8888/rtp/239.3.1.60:8084
CCTV2,http://27.18.50.213:8888/rtp/239.69.1.102:10250
CCTV2,http://27.18.50.213:8888/rtp/239.254.96.154:8998
CCTV2,http://114.243.96.9:8888/rtp/239.3.1.60:8084
CCTV2,http://183.162.104.137:8888/rtp/238.1.78.235:7752
CCTV2,http://117.63.157.175:8888/rtp/239.49.8.130:6000
CCTV2,http://117.63.157.175:8888/rtp/239.49.1.2:6000
CCTV2,http://119.98.123.82:8888/rtp/239.69.1.102:10250
CCTV2,http://119.98.123.82:8888/rtp/239.254.96.154:8998
CCTV2,http://114.222.8.88:8001/rtp/239.49.8.130:6000
CCTV2,http://114.222.8.88:8001/rtp/239.49.1.2:6000
CCTV2,http://111.196.128.135:20000/rtp/239.3.1.60:8084
CCTV2,http://113.65.124.131:9527/rtp/239.77.0.137:5146
CCTV2,http://113.65.124.131:9527/rtp/239.77.1.158:5146
CCTV2,http://36.24.119.220:4022/rtp/233.50.201.119:5140
CCTV2,http://36.24.119.220:4022/rtp/233.50.200.25:5140
CCTV2,http://36.24.119.220:4022/rtp/233.50.200.100:5140
CCTV2,http://111.167.35.107:5002/rtp/225.1.1.133:5002
CCTV2,http://180.109.221.194:7000/rtp/239.49.8.130:6000
CCTV2,http://180.109.221.194:7000/rtp/239.49.1.2:6000
CCTV2,http://117.86.82.202:8000/rtp/239.49.8.130:6000
CCTV2,http://117.86.82.202:8000/rtp/239.49.1.2:6000
CCTV2,http://121.226.125.25:7777/rtp/239.49.8.130:6000
CCTV2,http://121.226.125.25:7777/rtp/239.49.1.2:6000
CCTV2,http://60.0.84.130:9999/rtp/239.253.92.190:6065
CCTV2,http://123.118.50.175:8686/rtp/239.3.1.60:8084
CCTV2,http://183.56.120.121:40000/rtp/239.77.0.137:5146
CCTV2,http://183.56.120.121:40000/rtp/239.77.1.158:5146
CCTV2,http://182.143.115.140:40000/rtp/239.94.2.70:5140
CCTV2,http://182.143.115.140:40000/rtp/239.94.0.2:5140
CCTV2,http://182.143.115.140:40000/rtp/239.94.2.35:5140
CCTV2,http://182.143.115.140:40000/rtp/239.94.2.129:5140
CCTV2,http://182.143.115.140:40000/rtp/239.94.2.147:5140
CCTV2,http://27.13.124.25:8099/rtp/225.0.4.132:7980
CCTV2,http://27.13.124.25:8099/rtp/225.0.4.2:7980
CCTV2,http://59.175.9.167:8899/rtp/239.69.1.102:10250
CCTV2,http://59.175.9.167:8899/rtp/239.254.96.154:8998
CCTV2,http://111.165.3.35:4022/rtp/225.1.1.133:5002
CCTV2,http://171.83.41.199:8888/rtp/239.69.1.102:10250
CCTV2,http://171.83.41.199:8888/rtp/239.254.96.154:8998
CCTV2,http://121.29.169.36:2083/rtp/239.253.92.190:6065
CCTV2,http://111.162.164.240:8086/rtp/225.1.1.133:5002
CCTV2,http://171.83.2.139:1234/rtp/239.69.1.102:10250
CCTV2,http://171.83.2.139:1234/rtp/239.254.96.154:8998
CCTV2,http://60.172.146.13:7000/rtp/238.1.78.235:7752
CCTV2,http://27.10.215.201:8008/rtp/225.0.4.132:7980
CCTV2,http://27.10.215.201:8008/rtp/225.0.4.2:7980
CCTV2,http://27.11.104.24:8009/rtp/225.0.4.132:7980
CCTV2,http://27.11.104.24:8009/rtp/225.0.4.2:7980
CCTV2,http://182.135.34.228:888/rtp/239.94.2.70:5140
CCTV2,http://182.135.34.228:888/rtp/239.94.0.2:5140
CCTV2,http://182.135.34.228:888/rtp/239.94.2.35:5140
CCTV2,http://182.135.34.228:888/rtp/239.94.2.129:5140
CCTV2,http://182.135.34.228:888/rtp/239.94.2.147:5140
CCTV2,http://110.16.116.68:4000/rtp/239.125.2.65:4120
CCTV2,http://110.16.116.68:4000/rtp/239.125.1.118:4130
CCTV2,http://27.12.234.39:8001/rtp/225.0.4.132:7980
CCTV2,http://27.12.234.39:8001/rtp/225.0.4.2:7980
CCTV2,http://27.12.234.77:8001/rtp/225.0.4.132:7980
CCTV2,http://27.12.234.77:8001/rtp/225.0.4.2:7980
CCTV2,http://14.109.229.61:8181/rtp/235.254.199.52:7980
CCTV2,http://14.109.229.61:8181/rtp/235.254.197.2:7980
CCTV2,http://14.109.229.61:8181/rtp/235.254.199.2:7980
CCTV2,http://115.230.57.152:4023/rtp/233.50.201.119:5140
CCTV2,http://115.230.57.152:4023/rtp/233.50.200.25:5140
CCTV2,http://115.230.57.152:4023/rtp/233.50.200.100:5140
CCTV2,http://183.191.140.139:8001/rtp/226.0.2.154:9144
CCTV2,http://183.191.140.139:8001/rtp/226.0.2.19:8064
CCTV2,http://27.12.234.56:8005/rtp/225.0.4.132:7980
CCTV2,http://27.12.234.56:8005/rtp/225.0.4.2:7980
CCTV2,http://39.65.40.122:4002/rtp/239.253.254.232:8000
CCTV2,http://39.65.40.122:4001/rtp/239.253.254.232:8000
CCTV2,http://27.210.20.247:4004/rtp/239.253.254.232:8000
CCTV2,http://27.12.235.98:8001/rtp/225.0.4.132:7980
CCTV2,http://27.12.235.98:8001/rtp/225.0.4.2:7980
CCTV2,http://27.223.171.195:4000/rtp/239.253.254.232:8000
CCTV2,http://39.65.40.122:4004/rtp/239.253.254.232:8000
CCTV2,http://171.122.194.218:8082/rtp/226.0.2.154:9144
CCTV2,http://171.122.194.218:8082/rtp/226.0.2.19:8064
CCTV2,http://27.12.234.211:8001/rtp/225.0.4.132:7980
CCTV2,http://27.12.234.211:8001/rtp/225.0.4.2:7980
CCTV2,http://27.12.234.211:8003/rtp/225.0.4.132:7980
CCTV2,http://27.12.234.211:8003/rtp/225.0.4.2:7980
CCTV2,http://60.223.78.50:7000/rtp/226.0.2.154:9144
CCTV2,http://60.223.78.50:7000/rtp/226.0.2.19:8064
CCTV2,http://171.113.177.141:8686/rtp/239.69.1.102:10250
CCTV2,http://171.113.177.141:8686/rtp/239.254.96.154:8998
CCTV2,http://119.135.192.216:10000/rtp/239.77.0.137:5146
