分类: 🏛海外新闻, 名称: CNN International, 总数: 18, 有效: 2, 有效率: 11.11%, IPv4: 9, IPv6: 9, 最小延迟: 122 ms, 最高速率: 10.96 M/s, 平均速率: 7.87 M/s, 最高分辨率: 640x360, 平均帧率: 27.49, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: GB News, 总数: 4, 有效: 2, 有效率: 50.00%, IPv4: 1, IPv6: 3, 最小延迟: 206 ms, 最高速率: 19.57 M/s, 平均速率: 10.41 M/s, 最高分辨率: 640x360, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: BBC Earth, 总数: 13, 有效: 1, 有效率: 7.69%, IPv4: 6, IPv6: 7, 最小延迟: 708 ms, 最高速率: 2.63 M/s, 平均速率: 2.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: Al Jazeera English, 总数: 9, 有效: 2, 有效率: 22.22%, IPv4: 7, IPv6: 2, 最小延迟: 56 ms, 最高速率: 23.30 M/s, 平均速率: 21.48 M/s, 最高分辨率: 746x420, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: Euronews, 总数: 24, 有效: 7, 有效率: 29.17%, IPv4: 7, IPv6: 17, 最小延迟: 50 ms, 最高速率: 33.68 M/s, 平均速率: 24.10 M/s, 最高分辨率: 1280x720, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: Arirang, 总数: 13, 有效: 1, 有效率: 7.69%, IPv4: 11, IPv6: 2, 最小延迟: 526 ms, 最高速率: 0.50 M/s, 平均速率: 0.47 M/s, 最高分辨率: 640x360, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: CGTN, 总数: 193, 有效: 3, 有效率: 1.55%, IPv4: 184, IPv6: 9, 最小延迟: 104 ms, 最高速率: 28.46 M/s, 平均速率: 11.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 🏛海外新闻, 名称: BBC News, 总数: 46, 有效: 1, 有效率: 2.17%, IPv4: 34, IPv6: 12, 最小延迟: 244 ms, 最高速率: 13.93 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.66, 视频编解码器: h264, 音频编解码器: aac
分类: 🏛海外新闻, 名称: NHK, 总数: 14, 有效: 0, 有效率: 0.00%, IPv4: 11, IPv6: 3, 最小延迟: 413 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 🏛海外新闻, 名称: RT News, 总数: 19, 有效: 0, 有效率: 0.00%, IPv4: 18, IPv6: 1, 最小延迟: 10320 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
